#logMsmin    logMsmax    logSFRmin    logSFRmax    Prob
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  1.9743100551054964e-05
7.0  7.25  -5.5  -5.136363636363637  0.0003695574736950992
7.0  7.25  -5.5  -5.136363636363637  0.00032089490191433007
7.0  7.25  -5.5  -5.136363636363637  0.0007146446255804403
7.0  7.25  -5.5  -5.136363636363637  0.0010558387717233197
7.0  7.25  -5.5  -5.136363636363637  0.0018158091070195623
7.0  7.25  -5.5  -5.136363636363637  0.0013322421794380891
7.0  7.25  -5.5  -5.136363636363637  0.0006334476486662424
7.0  7.25  -5.5  -5.136363636363637  0.00021133459744791228
7.0  7.25  -5.5  -5.136363636363637  4.6437997070791256e-05
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.0  7.25  -5.5  -5.136363636363637  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  3.503705168215388e-05
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.00048245464022648397
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.00046382382703041803
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0007460667433588799
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0011940404755807045
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0027061951346882664
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.002428123295941013
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.002120575842286551
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0005116521832949455
7.25  7.5  -5.136363636363637  -4.7727272727272725  9.148563494784624e-05
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.25  7.5  -5.136363636363637  -4.7727272727272725  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0001053892268852089
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0004357385713169455
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.00018547391644441777
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0004832888557427257
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0007913924530746821
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0019854329286553866
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.004825380617781081
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.005269183272421697
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.002837723114415717
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.00035843460014520917
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.5  7.75  -4.7727272727272725  -4.409090909090909  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0001237419682425276
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.00039347165182736303
7.75  8.0  -4.409090909090909  -4.045454545454545  0.00019298185609059357
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0013074937857895839
7.75  8.0  -4.409090909090909  -4.045454545454545  0.004419395733210092
7.75  8.0  -4.409090909090909  -4.045454545454545  0.007690076700555281
7.75  8.0  -4.409090909090909  -4.045454545454545  0.00792838426636168
